custID,contact,duration,age,region,job,marital,education,default,balance,housing,loan,Equal_balance,Equal_Frequence,Binned_age,response,Flag
67,3,528,60,4,6,2,3,1,116,1,1,2,4,4,0,0
68,3,273,59,3,5,1,3,1,69,2,1,1,3,4,0,1
69,3,158,55,3,10,2,2,1,1401,2,1,3,2,4,0,1
70,3,177,35,5,2,3,2,1,14213,2,2,4,2,2,0,1
72,3,172,31,3,8,2,2,1,29,2,2,1,2,1,0,1
73,3,154,54,3,5,2,2,1,328,2,2,2,2,4,0,0
74,3,291,55,4,2,2,1,1,27,2,1,1,3,4,0,0
76,3,176,53,3,10,2,2,1,447,2,1,2,2,4,0,1
79,3,272,49,5,8,1,2,1,0,2,2,1,3,4,0,0
81,3,193,45,7,1,3,2,1,240,2,1,2,3,3,0,1
83,3,20,42,4,10,3,2,1,802,2,1,3,1,3,0,1
84,3,1042,59,4,1,2,2,1,2724,2,1,4,4,4,1,0
85,3,246,46,3,7,2,3,1,159,2,2,2,3,3,0,1
86,3,529,51,4,2,2,1,1,201,2,1,2,4,4,0,1
87,3,1467,56,3,1,2,2,1,52,1,1,1,4,4,1,1
89,3,188,46,4,5,1,2,1,19,2,2,1,3,3,0,1
90,3,180,57,5,6,2,2,1,565,2,1,3,2,4,0,0
91,3,48,42,4,5,3,2,1,58,1,1,1,1,3,0,0
92,3,213,30,4,10,2,2,1,177,2,2,2,3,1,0,1
93,3,583,60,2,1,2,2,1,337,2,1,2,4,4,0,1
98,3,101,60,4,6,2,3,1,94,2,1,2,1,4,0,1
100,3,197,46,5,5,2,3,1,266,2,1,2,3,3,0,1
101,3,257,44,3,2,2,2,1,-784,2,1,1,3,3,0,0
102,3,124,53,4,2,2,1,1,105,1,1,2,2,4,0,1
103,3,229,52,6,2,2,1,1,149,2,1,2,3,4,0,0
104,3,55,59,5,2,2,1,1,208,2,1,2,1,4,0,1
105,3,400,27,4,10,3,3,1,0,2,1,1,4,1,0,1
106,3,197,44,5,2,2,2,1,63,2,1,1,3,3,0,1
107,3,190,47,3,10,2,3,1,176,2,1,2,3,3,0,0
110,3,849,45,4,5,2,3,1,608,2,1,3,4,3,0,1
112,3,144,46,5,10,1,2,1,92,1,1,2,2,3,0,1
113,3,212,56,4,7,2,1,1,-40,2,2,1,3,4,0,1
114,3,286,36,5,2,2,1,1,521,2,1,3,3,2,0,1
115,3,107,59,2,6,1,1,1,94,2,1,2,2,4,0,0
116,3,247,44,4,2,2,2,1,167,2,1,2,3,3,0,1
118,3,364,33,4,5,3,3,1,-78,2,1,1,4,1,0,1
119,3,178,59,1,5,1,3,1,305,1,1,2,2,4,0,1
120,3,98,57,6,10,2,1,1,0,1,1,1,1,4,0,1
121,3,439,56,4,10,1,4,1,65,2,1,1,4,4,0,1
124,3,127,43,4,8,2,2,1,48,2,2,1,2,3,0,1
125,3,175,52,2,10,2,3,1,8,1,2,1,2,4,0,1
127,3,61,29,2,1,3,2,1,951,2,2,3,1,1,0,0
128,3,78,34,3,8,2,2,1,-19,2,2,1,1,2,0,1
129,3,143,31,3,2,2,2,1,0,2,1,1,2,1,0,1
130,3,579,55,4,8,2,2,1,2879,2,1,4,4,4,1,0
131,3,677,55,3,5,2,4,1,1378,1,1,3,4,4,0,1
132,3,345,32,6,1,3,2,1,252,2,1,2,4,1,0,1
134,3,100,55,3,1,3,2,1,933,2,2,3,1,4,0,1
135,3,125,28,6,11,3,3,1,0,2,1,1,2,1,0,1
137,3,136,32,6,10,3,2,1,0,2,1,1,2,1,0,1
138,3,73,43,3,8,3,4,1,0,1,1,1,1,3,0,1
141,3,163,53,3,4,1,1,1,1101,2,1,3,2,4,0,1
142,3,301,34,3,7,3,2,1,3,2,1,1,3,2,0,1
143,3,46,57,3,11,2,3,1,49,1,1,1,1,4,0,0
144,3,204,37,3,2,2,2,1,43,2,1,1,3,2,0,0
147,3,157,56,4,2,1,1,1,9,2,1,1,2,4,0,1
148,3,243,48,3,11,2,2,1,341,2,1,2,3,3,0,1
149,3,186,43,2,8,2,1,1,3,2,1,1,3,3,0,1
150,3,579,54,6,2,2,1,1,405,2,1,2,4,4,0,1
151,3,163,51,2,2,2,4,1,-22,2,1,1,2,4,0,1
152,3,610,26,2,9,3,2,1,0,2,1,1,4,1,0,0
153,3,2033,40,3,5,2,3,1,-5,2,1,1,4,3,0,1
154,3,85,39,4,5,2,2,1,21,2,1,1,1,2,0,1
155,3,114,50,4,10,2,1,1,162,1,1,2,2,4,0,0
157,3,57,51,5,2,2,4,1,2190,2,1,4,1,4,0,0
158,3,238,60,3,6,1,2,1,251,2,1,2,3,4,0,0
159,3,93,52,5,2,2,2,1,909,2,1,3,1,4,0,1
160,3,128,48,4,2,2,2,1,1051,2,1,3,2,3,0,0
161,3,107,48,5,8,2,4,1,1983,2,1,4,2,3,0,1
162,3,181,39,2,10,3,3,1,55,2,1,1,3,2,0,0
163,3,303,47,5,8,3,2,1,205,2,1,2,3,3,0,1
164,3,558,40,6,2,2,2,1,1424,2,1,3,4,3,0,1
165,3,270,45,6,10,2,2,1,100,2,1,2,3,3,0,1
166,3,228,26,1,1,3,2,1,95,2,1,2,3,1,0,1
167,3,99,52,2,5,2,3,1,315,2,1,2,1,4,0,1
169,3,673,54,5,1,2,3,1,214,1,1,2,4,4,1,0
170,3,233,50,3,2,2,1,1,0,1,1,1,3,4,0,0
171,3,1056,35,2,2,2,2,1,0,2,1,1,4,2,0,1
172,3,250,44,6,8,2,2,1,1578,2,2,3,3,3,0,1
173,3,252,53,2,3,2,4,1,22,2,1,1,3,4,0,1
174,3,138,35,2,6,3,1,1,505,1,1,2,2,2,0,1
175,3,130,60,3,1,1,2,1,107,2,1,2,2,4,0,1
176,3,412,53,3,1,1,2,1,1338,2,1,3,4,4,0,1
177,3,179,48,5,11,2,2,1,48,2,1,1,2,3,0,1
178,3,19,34,3,10,2,2,1,59,2,1,1,1,2,0,1
179,3,458,54,8,8,2,2,1,249,2,1,2,4,4,0,1
180,3,717,51,6,5,2,2,1,1350,2,1,3,4,4,0,1
181,3,313,31,5,8,2,3,1,43,2,1,1,3,1,0,1
183,3,1077,35,2,8,2,2,1,69,2,1,1,4,2,0,1
185,3,146,36,4,1,2,3,1,245,2,1,2,2,2,0,1
186,3,167,58,3,6,2,1,1,273,2,1,2,2,4,0,1
187,3,315,40,5,8,1,4,1,5098,2,1,4,3,3,0,1
188,3,140,54,5,5,2,2,1,4744,1,1,4,2,4,0,1
189,3,346,34,4,2,3,2,1,62,2,2,1,4,2,0,0
190,3,562,31,5,5,3,3,1,0,2,1,1,4,1,0,0
191,3,172,51,3,6,2,2,1,2473,2,1,4,2,4,0,1
192,3,217,33,4,5,2,3,1,438,2,1,2,3,1,0,1
193,3,142,55,4,5,2,3,1,85,2,1,2,2,4,0,0
194,3,67,42,0,1,2,2,1,517,2,1,2,1,3,0,0
195,3,291,34,3,2,2,2,1,283,2,1,2,3,2,0,1
197,3,248,38,3,8,2,2,1,180,2,1,2,3,2,0,1
198,3,98,50,1,10,1,3,1,201,1,2,2,1,4,0,1
199,3,256,43,3,5,2,3,1,465,2,1,2,3,3,0,1
200,3,82,61,5,2,1,1,1,1660,2,1,4,1,4,0,1
201,3,577,47,7,1,2,2,1,255,2,1,2,4,3,0,0
203,3,477,44,3,2,2,2,1,669,2,1,3,4,3,0,0
204,3,611,35,2,9,3,4,1,347,2,1,2,4,2,0,1
207,3,42,41,4,5,2,3,1,205,2,2,2,1,3,0,1
208,3,251,41,4,5,2,3,1,601,2,1,3,3,3,0,1
210,3,215,42,4,6,2,2,1,65,2,1,1,3,3,0,0
211,3,287,38,4,2,2,2,1,-453,2,1,1,3,2,0,1
212,3,216,53,3,6,2,2,1,384,2,1,2,3,4,0,1
214,3,210,36,6,8,2,2,1,350,2,1,2,3,2,0,1
215,3,288,54,6,2,2,1,1,-48,2,1,1,3,4,0,1
216,3,168,40,4,10,2,3,1,562,2,1,3,2,3,0,1
219,3,177,46,7,4,2,1,1,1122,1,1,3,2,3,0,1
220,3,127,39,6,5,2,3,1,440,2,2,2,2,2,0,0
221,3,357,40,5,11,2,2,1,255,2,1,2,4,3,0,1
223,3,300,35,4,3,1,2,1,-80,2,1,1,3,2,0,1
225,3,1419,43,3,10,1,4,1,238,2,1,2,4,3,0,1
226,3,125,48,5,2,2,1,1,323,2,1,2,2,3,0,1
227,3,213,58,1,5,2,4,1,1238,2,1,3,3,4,0,1
228,3,27,33,6,5,3,3,1,40,2,1,1,1,1,0,1
229,3,238,36,6,2,2,4,1,1201,1,1,3,3,2,0,1
230,3,124,53,5,8,1,2,1,1706,2,1,4,2,4,0,1
231,3,18,47,5,2,2,1,1,-14,2,1,1,1,3,0,1
232,3,730,31,5,8,2,2,1,451,2,1,2,4,1,0,1
233,3,746,57,1,3,2,2,1,342,2,1,2,4,4,0,1
235,3,247,55,5,2,2,1,1,729,2,1,3,3,4,0,1
236,3,40,45,3,2,2,1,1,29,2,1,1,1,3,0,1
238,3,79,37,4,2,2,1,1,0,2,1,1,1,2,0,0
239,3,206,44,4,1,1,2,1,77,2,1,1,3,3,0,1
240,3,389,49,0,2,1,1,1,-10,2,2,1,4,4,0,1
241,3,127,46,4,10,2,2,1,406,2,2,2,2,3,0,0
242,3,702,43,3,3,2,4,1,116,2,1,2,4,3,0,0
244,3,117,43,4,10,2,2,1,505,2,1,2,2,3,0,1
245,3,232,49,6,5,2,3,1,3764,2,1,4,3,4,0,1
246,3,408,42,3,5,2,4,1,320,1,1,2,4,3,0,1
247,3,179,22,6,2,3,2,1,0,2,1,1,2,1,0,1
248,3,39,40,3,5,2,3,1,241,2,1,2,1,3,0,1
249,3,282,39,3,2,2,2,1,562,2,1,3,3,2,0,1
250,3,714,51,3,8,2,2,1,2614,2,1,4,4,4,0,0
251,3,50,49,3,1,2,2,1,498,2,1,2,1,4,0,1
252,3,181,53,3,2,2,2,1,0,2,2,1,3,4,0,0
253,3,142,34,3,8,3,2,1,0,2,1,1,2,2,0,0
254,3,227,33,4,10,1,2,1,163,2,1,2,3,1,0,1
255,3,119,50,2,5,3,3,1,345,2,1,2,2,4,0,1
256,3,361,39,4,2,2,1,1,324,2,1,2,4,2,0,1
258,3,67,30,3,10,3,2,1,2992,2,1,4,1,1,0,1
259,3,350,36,4,8,2,2,1,166,2,2,2,4,2,0,0
260,3,332,40,5,2,2,2,1,552,2,1,3,4,3,0,0
261,3,611,53,5,2,2,2,1,81,2,1,1,4,4,0,0
262,3,113,34,7,5,3,3,1,370,2,1,2,2,2,0,1
263,3,132,37,5,10,2,2,1,320,2,1,2,2,2,0,1
264,3,58,42,4,5,1,3,1,863,2,1,3,1,3,0,1
265,3,151,41,6,3,2,1,1,274,2,1,2,2,3,0,1
266,3,89,30,3,9,3,3,1,29,2,1,1,1,1,0,1
268,3,611,39,3,1,1,2,1,-406,2,1,1,4,2,0,1
270,3,463,40,2,2,2,1,1,0,2,1,1,4,3,0,1
271,3,562,42,4,5,3,3,1,0,2,2,1,4,3,1,1
272,3,962,40,5,2,1,1,1,0,2,1,1,4,3,0,1
274,3,118,56,6,3,1,2,1,180,1,1,2,2,4,0,0
275,3,92,37,3,1,2,2,1,221,2,1,2,1,2,0,1
276,3,143,59,3,6,2,2,1,371,2,1,2,2,4,0,1
278,3,234,49,4,8,2,2,1,55,1,1,1,3,4,0,0
279,3,75,38,4,8,3,2,1,663,2,1,3,1,2,0,1
281,3,621,50,4,2,2,1,1,71,2,1,1,4,4,0,1
283,3,310,54,2,10,2,3,1,300,1,1,2,3,4,0,0
284,3,156,58,2,2,2,1,1,88,2,1,2,2,4,0,0
287,3,125,47,5,1,2,2,1,428,2,1,2,2,3,0,1
288,3,2,50,2,10,3,3,1,394,2,1,2,1,4,0,0
289,3,286,32,4,2,2,2,1,1548,2,1,3,3,1,0,0
291,3,98,37,5,5,2,3,1,67,2,1,1,1,2,0,1
292,3,742,54,2,10,3,4,1,520,2,1,2,4,4,0,1
293,3,226,24,4,9,3,2,1,492,2,1,2,3,1,0,1
294,3,120,54,5,5,2,3,1,0,1,1,1,2,4,0,1
295,3,362,34,5,10,2,2,1,22,2,1,1,4,2,0,0
296,3,357,56,2,10,1,1,1,15,2,1,1,4,4,0,1
297,3,200,31,4,2,3,2,1,3,2,1,1,3,1,0,1
298,3,204,24,4,9,3,2,1,95,2,1,2,3,1,0,1
299,3,126,42,2,2,1,1,1,33,2,1,1,2,3,0,1
300,3,65,57,3,10,2,2,1,921,2,1,3,1,4,0,0
301,3,107,42,4,2,2,4,1,474,2,1,2,2,3,0,1
302,3,267,51,4,1,2,2,1,617,2,1,3,3,4,0,0
303,3,248,57,4,6,2,2,1,245,2,1,2,3,4,0,0
304,3,215,36,7,8,3,2,1,72,2,1,1,3,2,0,0
305,3,209,53,3,8,2,4,1,299,2,1,2,3,4,0,0
306,3,205,50,2,10,2,2,1,1435,2,1,3,3,4,0,0
307,3,83,54,7,5,2,3,1,364,2,1,2,1,4,0,1
308,3,106,55,3,2,2,2,1,103,2,1,2,2,4,0,1
309,3,189,44,6,2,2,2,1,150,2,2,2,3,3,0,0
312,3,108,54,2,10,2,4,1,990,2,1,3,2,4,0,1
313,3,311,55,4,8,1,1,1,112,2,2,2,3,4,0,1
314,3,214,37,6,8,1,2,1,463,2,2,2,3,2,0,1
315,3,132,33,3,1,3,3,1,224,1,1,2,2,1,0,1
316,3,358,46,2,1,2,2,1,-416,2,1,1,4,3,0,1
317,3,453,36,5,2,2,2,1,627,2,2,3,4,2,0,0
318,3,364,51,4,10,3,2,1,0,2,1,1,4,4,0,1
319,3,136,40,5,6,3,1,1,0,1,1,1,2,3,0,0
320,3,386,42,3,2,2,2,1,570,2,1,3,4,3,0,1
321,3,173,51,5,2,2,2,1,0,2,1,1,2,4,0,1
322,3,241,49,4,2,2,4,1,469,2,1,2,3,4,0,0
323,3,224,48,1,5,2,2,1,187,2,1,2,3,3,0,0
324,3,148,32,3,10,1,3,1,2974,1,1,4,2,1,0,1
325,3,196,31,4,1,3,2,1,114,2,1,2,3,1,0,1
326,3,111,55,4,5,3,3,1,134,1,1,2,2,4,0,1
329,3,216,57,5,10,2,4,1,240,2,1,2,3,4,0,1
330,3,240,41,4,2,2,2,1,337,2,1,2,3,3,0,1
331,3,669,48,2,2,2,2,1,1,1,1,1,4,3,0,1
333,3,143,30,4,2,3,2,1,-531,2,1,1,2,1,0,1
334,3,174,58,4,5,3,3,1,1613,2,1,3,2,4,0,1
336,3,135,49,6,2,2,2,1,35,2,1,1,2,4,0,1
337,3,146,42,7,1,3,2,1,1188,2,1,3,2,3,0,1
338,3,152,53,4,10,2,2,1,65,2,2,1,2,4,0,1
339,3,402,51,3,1,3,2,2,-2,1,1,1,4,4,0,1
341,3,144,41,4,2,3,2,1,979,2,1,3,2,3,0,1
342,3,124,43,6,5,1,2,1,806,2,1,3,2,3,0,1
343,3,183,40,3,2,1,2,1,-387,2,1,1,3,3,0,1
344,3,325,50,5,2,2,1,1,1783,2,1,4,4,4,0,1
345,3,39,34,4,5,2,3,1,53,2,1,1,1,2,0,1
346,3,503,53,1,8,2,4,1,21,1,1,1,4,4,0,0
348,3,680,39,4,2,2,1,1,-116,2,1,1,4,2,0,1
349,3,421,44,4,8,2,3,1,593,2,1,3,4,3,0,1
350,3,174,55,4,5,2,3,1,797,2,1,3,2,4,0,1
351,3,113,46,4,5,3,3,1,217,2,1,2,2,3,0,1
352,3,808,45,4,2,2,2,1,77,2,1,1,4,3,0,0
353,3,198,34,6,1,2,2,1,651,2,1,3,3,2,0,0
354,3,195,36,3,2,2,2,1,0,2,1,1,3,2,0,1
355,3,347,59,3,12,1,4,1,31,1,1,1,4,4,0,1
356,3,208,31,6,1,3,2,1,14,2,1,1,3,1,0,1
357,3,404,44,5,2,3,2,1,40,2,1,1,4,3,0,1
358,3,396,33,5,3,3,3,1,1242,2,1,3,4,1,0,0
359,3,216,40,5,2,2,2,1,245,2,1,2,3,3,0,1
361,3,350,48,6,5,2,3,1,306,2,1,2,4,3,0,1
362,3,114,42,4,8,2,2,1,1469,2,1,3,2,3,0,0
363,3,88,27,5,8,2,2,1,9,2,1,1,1,1,0,1
364,3,379,48,4,1,2,2,1,147,2,2,2,4,3,0,1
365,3,190,59,5,1,2,2,1,267,2,1,2,3,4,0,0
366,3,158,46,3,10,2,3,1,978,2,1,3,2,3,0,0
368,3,306,43,4,5,1,3,1,1,2,1,1,3,3,0,1
369,3,218,38,5,1,1,3,1,100,2,1,2,3,2,0,1
370,3,54,23,5,9,3,2,1,183,2,1,2,1,1,0,1
371,3,344,34,4,8,2,2,1,26,2,1,1,4,2,0,1
372,3,195,38,6,1,2,2,1,53,2,2,1,3,2,0,1
375,3,189,48,5,2,2,4,1,152,2,1,2,3,3,0,1
376,3,83,49,3,2,3,2,1,166,2,1,2,1,4,0,1
377,3,184,38,1,1,3,2,1,457,1,1,2,3,2,0,1
379,3,290,33,4,5,2,3,1,0,2,1,1,3,1,0,0
380,3,232,55,4,2,2,2,1,260,2,1,2,3,4,0,0
382,3,318,49,6,8,2,2,1,285,2,2,2,3,4,0,1
383,3,260,40,4,5,2,2,1,9867,1,1,4,3,3,0,1
384,3,437,43,3,1,2,4,1,407,1,1,2,4,3,0,0
385,3,402,38,6,2,2,2,1,23,2,1,1,4,2,0,1
386,3,85,58,0,8,2,2,1,1938,2,2,4,1,4,0,1
387,3,125,57,6,10,2,4,1,401,2,1,2,2,4,0,1
389,3,1201,56,5,5,2,3,1,965,2,2,3,4,4,1,1
390,3,253,58,4,2,1,4,1,34,2,1,1,3,4,0,0
391,3,1030,60,3,6,1,2,1,634,2,1,3,4,4,1,1
392,3,149,37,6,10,2,3,1,10151,2,1,4,2,2,0,1
393,3,114,46,3,10,1,3,1,555,2,1,3,2,3,0,1
396,3,135,32,6,10,3,2,1,0,2,2,1,2,1,0,0
397,3,231,40,4,1,3,2,1,306,2,1,2,3,3,0,1
398,3,76,38,3,1,2,2,1,1,1,1,1,1,2,0,1
399,3,199,34,6,2,2,2,1,329,1,2,2,3,2,0,1
400,3,152,47,5,2,2,1,1,240,2,1,2,2,3,0,1
401,3,124,42,6,4,2,1,1,20,2,1,1,2,3,0,1
402,3,424,48,3,10,2,2,1,164,2,2,2,4,3,0,1
403,3,43,29,4,7,3,3,1,19,2,1,1,1,1,0,1
404,3,154,50,5,8,2,2,1,240,2,1,2,2,4,0,0
405,3,203,52,5,10,2,4,1,8,1,1,1,3,4,0,1
406,3,326,50,2,5,2,3,1,0,1,1,1,4,4,0,1
407,3,393,58,4,6,2,3,1,0,1,1,1,4,4,0,0
408,3,241,46,6,2,1,1,1,2241,2,1,4,3,3,0,1
409,3,483,38,3,10,2,2,1,330,2,1,2,4,2,0,0
410,3,259,46,5,2,2,2,1,1930,2,1,4,3,3,0,1
411,3,227,32,2,8,3,2,1,472,2,1,2,3,1,0,1
412,3,673,51,1,2,2,1,1,267,2,1,2,4,4,0,0
415,3,168,36,7,3,2,3,1,1359,2,1,3,2,2,0,1
416,3,90,34,4,1,1,2,1,78,2,1,1,1,2,0,1
417,3,505,40,5,10,2,2,1,90,1,1,2,4,3,0,0
418,3,245,43,3,11,2,2,1,0,2,1,1,3,3,0,1
419,3,186,52,5,2,1,1,1,64,2,2,1,3,4,0,0
421,3,496,49,2,5,3,3,1,190,2,1,2,4,4,0,0
422,3,118,32,2,5,3,3,1,176,2,1,2,2,1,0,1
423,3,342,39,4,1,3,2,1,131,2,1,2,4,2,0,1
424,3,225,40,5,2,2,2,1,0,2,1,1,3,3,0,1
425,3,185,38,3,10,3,3,1,10,2,1,1,3,2,0,1
426,3,196,43,3,5,2,2,1,436,2,1,2,3,3,0,1
428,3,76,54,4,2,2,1,1,2444,2,1,4,1,4,0,1
429,3,87,38,5,10,3,3,1,5029,2,1,4,1,2,0,1
430,3,195,40,6,2,2,2,1,252,2,1,2,3,3,0,1
431,3,744,55,5,1,2,2,1,152,2,1,2,4,4,0,0
432,3,765,42,3,5,2,3,1,1953,2,1,4,4,3,0,1
433,3,262,39,3,2,2,2,1,0,2,1,1,3,2,0,1
434,3,119,40,4,2,2,1,1,53,2,1,1,2,3,0,1
435,3,198,32,5,2,2,2,1,372,2,1,2,3,1,0,1
436,3,150,55,2,1,2,2,1,213,2,1,2,2,4,0,1
437,3,241,45,6,2,2,2,1,45,1,1,1,3,3,0,0
438,3,181,35,5,5,3,3,1,651,2,1,3,3,2,0,0
439,3,196,58,5,10,1,2,1,545,1,1,3,3,4,0,1
440,3,149,35,6,1,2,2,1,616,2,1,3,2,2,0,1
442,3,112,34,4,10,3,3,1,281,2,1,2,2,2,0,1
443,3,309,36,3,2,2,2,1,162,2,1,2,3,2,0,0
444,3,278,24,4,7,3,2,1,0,2,1,1,3,1,0,1
446,3,136,51,6,1,1,2,1,265,2,1,2,2,4,0,1
449,3,144,32,4,8,3,2,1,360,2,1,2,2,1,0,0
450,3,238,42,5,2,2,4,1,153,2,1,2,3,3,0,1
451,3,354,50,4,10,2,2,1,927,2,1,3,4,4,0,0
452,3,79,40,4,8,2,2,1,83,1,1,1,1,3,0,0
453,3,187,46,5,5,1,4,1,2,2,1,1,3,3,0,1
454,3,451,37,3,5,2,3,1,269,2,2,2,4,2,0,1
455,3,159,34,5,2,2,2,1,314,2,2,2,2,2,0,1
456,3,409,44,4,2,2,2,1,319,2,2,2,4,3,0,1
458,3,608,37,5,10,2,2,1,1,2,1,1,4,2,1,1
459,3,243,33,2,2,3,2,2,-70,1,1,1,3,1,0,1
460,3,145,35,2,2,2,2,1,103,2,1,2,2,2,0,1
461,3,112,58,4,2,1,2,1,-13,1,1,1,2,4,0,0
462,3,262,39,4,2,2,1,1,0,2,1,1,3,2,0,0
463,3,124,43,3,2,2,2,1,-592,2,1,1,2,3,0,1
464,3,53,39,2,11,2,1,1,474,2,1,2,1,2,0,1
465,3,134,36,4,8,3,1,1,67,2,1,1,2,2,0,0
466,3,204,57,4,6,3,2,1,1907,1,2,4,3,4,0,1
468,3,678,50,2,2,2,1,1,83,2,1,1,4,4,0,1
469,3,182,55,2,2,2,2,1,60,2,1,1,3,4,0,1
472,3,699,39,5,4,3,1,1,127,2,1,2,4,2,0,0
473,3,43,46,6,2,2,4,1,1214,2,1,3,1,3,0,0
476,3,283,40,2,2,2,1,1,777,2,1,3,3,3,0,1
477,3,323,50,1,5,2,3,1,1121,2,1,3,4,4,0,1
480,3,185,39,3,5,3,2,1,2183,2,1,4,3,2,0,1
481,3,47,51,4,2,2,1,1,1310,2,1,3,1,4,0,1
486,3,472,54,5,5,1,1,1,0,1,1,1,4,4,0,1
488,3,264,59,4,5,1,3,1,-88,2,2,1,3,4,0,1
490,3,288,40,3,2,2,1,1,-77,2,1,1,3,3,0,1
491,3,176,32,3,10,2,2,1,0,2,1,1,2,1,0,1
492,3,215,29,4,2,2,2,1,1,2,1,1,3,1,0,1
493,3,337,36,4,2,2,2,1,0,2,1,1,4,2,0,0
494,3,278,55,5,11,2,3,1,6215,1,1,4,3,4,0,1
495,3,188,30,5,2,1,2,1,-243,2,1,1,3,1,0,1
496,3,174,39,5,1,3,2,1,0,2,1,1,2,2,0,0
498,3,190,50,3,2,1,2,1,48,2,1,1,3,4,0,1
501,3,157,46,5,1,2,1,1,321,2,2,2,2,3,0,1
506,3,233,45,5,2,2,1,1,1508,2,1,3,3,3,0,1
507,3,531,57,5,6,1,2,1,-385,2,1,1,4,4,0,1
509,3,80,60,3,6,2,2,2,17,1,1,1,1,4,0,0
510,3,232,26,3,1,3,2,1,828,2,1,3,3,1,0,1
511,3,118,58,5,6,2,2,1,6320,2,1,4,2,4,0,0
513,3,918,55,5,11,1,2,1,450,2,1,2,4,4,1,1
515,3,82,50,5,5,1,2,1,1995,2,1,4,1,4,0,1
516,3,198,49,4,3,2,2,1,194,2,2,2,3,4,0,0
517,3,160,44,4,1,2,4,1,47,1,2,1,2,3,0,1
518,3,211,44,6,2,2,1,1,172,2,1,2,3,3,0,0
